0,1,2,3,4
462,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
471,0,ClassDef,AskLowerTriangularHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
476,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
482,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
487,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
500,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
507,4,FunctionDef,OneMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
511,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
515,4,FunctionDef,Inverse,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
519,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
528,0,ClassDef,AskDiagonalHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
533,4,FunctionDef,_is_empty_or_1x1,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
537,4,FunctionDef,MatMul,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
545,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
558,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
563,4,FunctionDef,MatrixSymbol,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
570,4,FunctionDef,ZeroMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
574,4,FunctionDef,OneMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
578,4,FunctionDef,Transpose,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
582,4,FunctionDef,Inverse,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
586,4,FunctionDef,MatrixSlice,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
595,4,FunctionDef,DiagonalMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
599,4,FunctionDef,DiagMatrix,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
603,4,FunctionDef,Identity,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
610,0,FunctionDef,BM_elements,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
614,0,FunctionDef,MS_elements,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
618,0,FunctionDef,MatMul_elements,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
625,0,ClassDef,AskIntegerElementsHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
626,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
630,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
650,0,ClassDef,AskRealElementsHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
651,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
655,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
676,0,ClassDef,AskComplexElementsHandler,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
677,4,FunctionDef,MatAdd,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
681,4,FunctionDef,MatPow,/sympy/build/lib/sympy/assumptions/handlers/matrices.py
11,0,ClassDef,AskPrimeHandler,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
19,4,FunctionDef,Expr,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
23,4,FunctionDef,_number,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
38,4,FunctionDef,Basic,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
43,4,FunctionDef,Mul,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
54,4,FunctionDef,Pow,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
65,4,FunctionDef,Integer,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
71,4,FunctionDef,Float,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
75,4,FunctionDef,NumberSymbol,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
80,0,ClassDef,AskCompositeHandler,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
82,4,FunctionDef,Expr,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
86,4,FunctionDef,Basic,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
106,0,ClassDef,AskEvenHandler,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
108,4,FunctionDef,Expr,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
112,4,FunctionDef,_number,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
125,4,FunctionDef,Basic,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
130,4,FunctionDef,Mul,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
171,4,FunctionDef,Add,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
192,4,FunctionDef,Pow,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
204,4,FunctionDef,Integer,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
210,4,FunctionDef,NumberSymbol,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
214,4,FunctionDef,Abs,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
219,4,FunctionDef,re,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
224,4,FunctionDef,im,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
230,0,ClassDef,AskOddHandler,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
236,4,FunctionDef,Expr,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
240,4,FunctionDef,Basic,/sympy/build/lib/sympy/assumptions/handlers/ntheory.py
