line_no,col_offset,type,name,file_name
118,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
118,8,call,list_of_symbols.append,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
118,31,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
119,4,Assign,"([<_ast.Name object at 0x805186a50>], <_ast.Call object at 0x805186b50>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
119,22,call,list,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
119,27,call,set,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
120,39,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
120,4,call,logger.debug,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
120,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
120,17,BinOp,"(<_ast.Str object at 0x805186550>, <_ast.Add object at 0x80101f750>, <_ast.Call object at 0x805186750>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
121,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
121,4,call,logger.info,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
121,41,BinOp,"(<_ast.BinOp object at 0x805186f90>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x8051862d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
121,16,BinOp,"(<_ast.Str object at 0x805186590>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x805186910>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
122,4,Return,<class '_ast.Name'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
125,0,FunctionDef,get_sympy_expr_from_AST_str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
135,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
139,4,Assign,"([<_ast.Name object at 0x805186610>], <_ast.Call object at 0x8051865d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
